Issue Number; Title; Github URL; Labels; State; Created At; Updated At; Reporter; Assignee
1944; "Load whole e-book folder at once"; https://github.com/edrlab/thorium-reader/issues/1944; ""; closed; 04/24/2023; 04/25/2023; Dragurashiphylax; 
1943; "Problem getting OPDS catalog feeds to work."; https://github.com/edrlab/thorium-reader/issues/1943; ""; closed; 04/14/2023; 04/15/2023; lostcowboy; 
1942; "Default theme in settings"; https://github.com/edrlab/thorium-reader/issues/1942; ""; open; 04/13/2023; 04/13/2023; Eccenux; 
1941; "Hyphens added in text break reading mode"; https://github.com/edrlab/thorium-reader/issues/1941; ""; open; 04/13/2023; 04/13/2023; Eccenux; 
1940; "LCP protected LPF Audiobooks: the reading window is black for some audiobooks"; https://github.com/edrlab/thorium-reader/issues/1940; ""; closed; 04/11/2023; 04/12/2023; llemeurfr; 
1939; "Win10 (not MacOS) PDF import error of 'no such path in zip: cover.png' for many PDFs - example file linked to."; https://github.com/edrlab/thorium-reader/issues/1939; ""; open; 04/03/2023; 04/03/2023; byjosh; 
1938; "option to disable 'overscroll moves to next/previous file' behavior"; https://github.com/edrlab/thorium-reader/issues/1938; ""; open; 03/30/2023; 03/30/2023; pkra; 
1936; "Numbers not aligned"; https://github.com/edrlab/thorium-reader/issues/1936; ""; closed; 03/27/2023; 04/12/2023; civodulab; 
1934; "Allow Thorio to use SAPI voices"; https://github.com/edrlab/thorium-reader/issues/1934; ""; closed; 03/26/2023; 03/26/2023; errotech; 
1933; "TTS : aria-labelledby and aria-describedby not read"; https://github.com/edrlab/thorium-reader/issues/1933; "accessibility,TTS"; open; 03/22/2023; 03/24/2023; civodulab; danielweck
1931; "Bug: Default Window Sizing"; https://github.com/edrlab/thorium-reader/issues/1931; ""; open; 03/21/2023; 03/22/2023; IllWriteDocumentationLater; 
1930; "Wrong date in About This Book dialog"; https://github.com/edrlab/thorium-reader/issues/1930; ""; open; 03/18/2023; 03/18/2023; jmamcrg; 
1929; "Images beyond cover do not load"; https://github.com/edrlab/thorium-reader/issues/1929; ""; closed; 03/16/2023; 03/16/2023; sharinganthief; 
1928; "No display of Cover Image "; https://github.com/edrlab/thorium-reader/issues/1928; ""; closed; 03/15/2023; 03/15/2023; jmamcrg; 
1927; "double click with mouse cursor on text visually selects text, but doesn't actually trigger a proper DOM selection"; https://github.com/edrlab/thorium-reader/issues/1927; ""; closed; 03/13/2023; 03/13/2023; danielweck; danielweck
1925; "Some FXL EPUBs have non-linear cover document as first spine item, causing totally broken left/right spreads (Apple iBooks ignores / does not support non-linear)"; https://github.com/edrlab/thorium-reader/issues/1925; ""; closed; 03/06/2023; 03/15/2023; danielweck; 
1924; "DAISY 2.02 ncc.html fails to open from non-zipped publications"; https://github.com/edrlab/thorium-reader/issues/1924; ""; closed; 03/06/2023; 03/06/2023; danielweck; danielweck
1923; "User preferences for TTS - Read footnotes aloud?"; https://github.com/edrlab/thorium-reader/issues/1923; ""; open; 03/03/2023; 03/24/2023; LaZay; 
1922; "Vocalization of <THEAD> and <TBODY> by TTS "; https://github.com/edrlab/thorium-reader/issues/1922; ""; open; 03/03/2023; 03/05/2023; LaZay; 
1921; "Localization of TTS for local change of language"; https://github.com/edrlab/thorium-reader/issues/1921; ""; closed; 03/03/2023; 03/10/2023; LaZay; 
1920; "Ignore accents when searching"; https://github.com/edrlab/thorium-reader/issues/1920; ""; closed; 03/03/2023; 03/05/2023; justinm-bdeb; 
1919; "add Bulgarian language localization (original PR #1914)"; https://github.com/edrlab/thorium-reader/pull/1919; ""; closed; 03/01/2023; 03/01/2023; danielweck; 
1918; "Greek translation (original PR #1909 )"; https://github.com/edrlab/thorium-reader/pull/1918; ""; closed; 03/01/2023; 03/01/2023; danielweck; 
1917; "Brightness setting for text/background "; https://github.com/edrlab/thorium-reader/issues/1917; "accessibility,user-interface,css"; open; 03/01/2023; 03/05/2023; c0ldw1nd; 
1916; "Pasted text copied from EPUB has no space between words"; https://github.com/edrlab/thorium-reader/issues/1916; ""; closed; 02/23/2023; 02/24/2023; PhilippeBruno; 
1915; "No Dark Mode on Homescreen"; https://github.com/edrlab/thorium-reader/issues/1915; "accessibility,user-interface,css"; open; 02/16/2023; 03/01/2023; MithNo1; 
1914; "add Bulgarian language localization"; https://github.com/edrlab/thorium-reader/pull/1914; ""; closed; 02/06/2023; 03/01/2023; openm1nd; 
1913; "Repeating label names for shortcut edit buttons under Settings in Thorium Reader"; https://github.com/edrlab/thorium-reader/issues/1913; "bug,accessibility,user-interface"; open; 02/02/2023; 03/02/2023; togregg; 
1912; "djvu support"; https://github.com/edrlab/thorium-reader/issues/1912; ""; closed; 01/26/2023; 03/01/2023; Haze-sh; 
1911; "Clipboard text copy on Windows produces a URL ?"; https://github.com/edrlab/thorium-reader/issues/1911; "question"; closed; 01/25/2023; 03/08/2023; danielweck; 
1910; "Pin Linux baseline / minimum version to ensure GLIBC compatibility"; https://github.com/edrlab/thorium-reader/issues/1910; "installer"; open; 01/25/2023; 03/13/2023; danielweck; danielweck
1909; "First translation in Greek Language"; https://github.com/edrlab/thorium-reader/pull/1909; ""; closed; 01/23/2023; 03/01/2023; izorba; 
1908; "FeatureRequest: link jump from external programs"; https://github.com/edrlab/thorium-reader/issues/1908; ""; closed; 01/20/2023; 01/25/2023; seaspeak; 
1907; "FeatureRequest: Pin the Navigation pane"; https://github.com/edrlab/thorium-reader/issues/1907; "enhancement,user-interface,feature,annotation"; closed; 01/18/2023; 01/25/2023; seaspeak; 
1906; "Long uncut strings like raw URLs overflows"; https://github.com/edrlab/thorium-reader/issues/1906; ""; open; 01/17/2023; 01/17/2023; gautierchomel; 
1926; "Celtic Daily Prayer epub3 file won't open in Thorium Reader on Win 10 PC but works fine in Google Play Books on Android"; https://github.com/edrlab/thorium-reader/issues/1926; ""; closed; 01/14/2023; 03/10/2023; Mike-DWN; 
1905; "Daisy 2.02 and 3 - Error opening opf file or ncc.html file from non-zipped package"; https://github.com/edrlab/thorium-reader/issues/1905; ""; closed; 01/13/2023; 03/06/2023; gelosoftONCE; 
1904; "Thorium behind a proxy : not working"; https://github.com/edrlab/thorium-reader/issues/1904; ""; open; 01/04/2023; 01/10/2023; Welsh44; 
1903; "Notify the user with a clear message when trying to open a .acsm"; https://github.com/edrlab/thorium-reader/issues/1903; ""; closed; 12/27/2022; 01/27/2023; llemeurfr; 
1902; "Bug: Flash of content when navigating back to empty pages"; https://github.com/edrlab/thorium-reader/issues/1902; ""; open; 12/23/2022; 03/01/2023; hdmjack; 
1901; "Feature Request: Mechanism To Update Cover Image on Thorium Where Cover is Not Displayed for Some Epubs "; https://github.com/edrlab/thorium-reader/issues/1901; ""; closed; 12/20/2022; 03/27/2023; mbennette68; 
1900; "Update pt-PT translation"; https://github.com/edrlab/thorium-reader/pull/1900; ""; closed; 12/09/2022; 03/01/2023; horus68; 
1899; "Display of accessibility information from OPDS "; https://github.com/edrlab/thorium-reader/issues/1899; "accessibility"; closed; 12/07/2022; 03/01/2023; gautierchomel; danielweck
1898; "[WIP] (DO NOT MERGE) PDF.js update"; https://github.com/edrlab/thorium-reader/pull/1898; ""; open; 12/06/2022; 12/06/2022; danielweck; 
1897; "WebSQL database fails in embedded WebView, works in Electron BrowserWindow (localStorage works)"; https://github.com/edrlab/thorium-reader/issues/1897; ""; closed; 12/05/2022; 12/05/2022; danielweck; 
1896; "Feature request: metadata editor and ability to organize books onto specific folders/pages."; https://github.com/edrlab/thorium-reader/issues/1896; "annotation"; open; 12/04/2022; 12/07/2022; Ninbusidu; 
1895; "Suggstion: Flatpak version and release on flathub"; https://github.com/edrlab/thorium-reader/issues/1895; ""; closed; 12/02/2022; 12/02/2022; Nitrousoxide; 
1894; "Two-column pagination"; https://github.com/edrlab/thorium-reader/issues/1894; ""; closed; 12/02/2022; 12/02/2022; civodulab; 
